Threshold,m,Number of Bets,Wins,Losses,Total Invested,Total Profit,ROI (%),Win Rate (%),Score (ROI * sqrt(Number of Bets))
0.35000000000000003,0.5499999999999999,1161,742,419,17415.0,23557.659933694013,135.27223619692225,63.910422049956935,4609.191786562606
0.35000000000000003,0.5999999999999999,441,304,137,6615.0,10603.263799097616,160.29121389414388,68.93424036281179,3366.1154917770214
0.35000000000000003,0.6499999999999999,138,103,35,2070.0,4017.3951925402407,194.0770624415575,74.63768115942028,2279.8892628591198
0.35000000000000003,0.7,56,42,14,840.0,1518.3286096256684,180.75340590781767,75.0,1352.634632799069
0.35000000000000003,0.7499999999999999,7,7,0,105.0,208.25,198.33333333333334,100.0,524.7406766944772
0.4,0.35,2948,1555,1393,44220.0,46627.399751272394,105.44414235927724,52.74762550881954,5725.141149477507
0.4,0.39999999999999997,2884,1541,1343,43260.0,46583.149751272394,107.68180709956634,53.43273231622746,5782.823846303653
0.4,0.44999999999999996,2606,1449,1157,39090.0,45042.16133816328,115.22681334910023,55.602455871066766,5882.213142093487
0.4,0.49999999999999994,1981,1178,803,29715.0,37753.0928061898,127.05062361160964,59.464916708732964,5654.823300683755
0.4,0.5499999999999999,1080,702,378,16200.0,23388.612717510965,144.3741525772282,65.0,4744.61880523443
0.4,0.5999999999999999,416,291,125,6240.0,10563.366582914572,169.28472088004122,69.95192307692307,3452.744380481752
0.4,0.6499999999999999,133,98,35,1995.0,3946.4165829145727,197.81536756464024,73.68421052631578,2281.3181086270247
0.4,0.7,52,38,14,780.0,1463.85,187.6730769230769,73.07692307692307,1353.3298037405025
0.4,0.7499999999999999,6,6,0,90.0,195.75,217.49999999999997,100.0,532.7640190553411
0.45,0.35,2703,1459,1244,40545.0,46311.49975127239,114.22246824829791,53.977062523122456,5938.469954385427
0.45,0.39999999999999997,2644,1447,1197,39660.0,46303.99975127239,116.75239473341502,54.72768532526475,6003.389518539509
0.45,0.44999999999999996,2387,1362,1025,35805.0,44802.76133816328,125.12990179629459,57.05906996229577,6113.463353641259
0.45,0.49999999999999994,1843,1118,725,27645.0,37515.342806189794,135.7038987382521,60.66196418882257,5825.79223871569
0.45,0.5499999999999999,1002,667,335,15030.0,23271.01271751097,154.83042393553538,66.56686626746507,4901.061629525762
0.45,0.5999999999999999,399,282,117,5985.0,10506.066582914573,175.5399596142786,70.67669172932331,3506.4079470494644
0.45,0.6499999999999999,131,98,33,1965.0,3976.4165829145727,202.3621670694439,74.80916030534351,2316.1408663111233
0.45,0.7,52,38,14,780.0,1463.85,187.6730769230769,73.07692307692307,1353.3298037405025
0.45,0.7499999999999999,6,6,0,90.0,195.75,217.49999999999997,100.0,532.7640190553411
0.5,0.35,2477,1337,1140,37155.0,44589.17907807765,120.00855625912435,53.97658457811869,5972.762066771483
0.5,0.39999999999999997,2419,1325,1094,36285.0,44566.67907807765,122.82397430915708,54.77470028937578,6040.892122929226
0.5,0.44999999999999996,2191,1255,936,32865.0,43398.36312259565,132.05039745198738,57.279780921953446,6181.030711838939
0.5,0.49999999999999994,1686,1027,659,25290.0,36268.44459062217,143.4102198126618,60.91340450771055,5888.557045097137
0.5,0.5499999999999999,931,620,311,13965.0,22581.096134596402,161.6977882892689,66.59505907626209,4933.770229828704
0.5,0.5999999999999999,374,264,110,5610.0,10250.25,182.7139037433155,70.58823529411765,3533.5187295809633
0.5,0.6499999999999999,125,94,31,1875.0,3939.6,210.112,75.2,2349.1235744421792
0.5,0.7,50,36,14,750.0,1432.35,190.98,72.0,1350.4325307100685
0.5,0.7499999999999999,6,6,0,90.0,195.75,217.49999999999997,100.0,532.7640190553411
0.55,0.35,2280,1231,1049,34200.0,42928.89529213517,125.52308564951804,53.99122807017543,5993.645190585262
0.55,0.39999999999999997,2227,1220,1007,33405.0,42892.89529213517,128.4026202428833,54.78221823080377,6059.46100205499
0.55,0.44999999999999996,2021,1161,860,30315.0,41973.42933665317,138.45762604866624,57.446808510638306,6224.436458065604
0.55,0.49999999999999994,1554,952,602,23310.0,35183.26080467968,150.93633978841564,61.261261261261254,5950.032273122323
0.55,0.5499999999999999,857,578,279,12855.0,22058.9461345964,171.59818074365148,67.44457409568263,5023.461639028706
0.55,0.5999999999999999,349,250,99,5235.0,10121.4,193.34097421203438,71.63323782234957,3611.907470566104
0.55,0.6499999999999999,116,90,26,1740.0,3942.6,226.58620689655172,77.58620689655173,2440.4081343228154
0.55,0.7,43,34,9,645.0,1474.35,228.5813953488372,79.06976744186046,1498.908447799171
0.55,0.7499999999999999,6,6,0,90.0,195.75,217.49999999999997,100.0,532.7640190553411
0.6000000000000001,0.35,2087,1132,955,31305.0,41403.54529213517,132.2585698518932,54.24053665548635,6042.060182385852
0.6000000000000001,0.39999999999999997,2036,1121,915,30540.0,41337.54529213517,135.35542007902805,55.05893909626719,6107.5149382013
0.6000000000000001,0.44999999999999996,1851,1070,781,27765.0,40534.77933665316,145.99236209851668,57.80659103187467,6281.065823833903
0.6000000000000001,0.49999999999999994,1428,882,546,21420.0,34139.11080467968,159.37960226274362,61.76470588235294,6022.777820714504
0.6000000000000001,0.5499999999999999,793,540,253,11895.0,21519.696134596405,180.9137968440219,68.09583858764186,5094.578775286175
