Name,Opponent,Win,Weight_Class,Title_Bout,Method,Round,Time,Time_format,Referee,Date,Location,Fighter_A_Totals_Fighter,Fighter_A_Totals_KD,Fighter_A_Totals_Sig_str,Fighter_A_Totals_Sig_str_Pct,Fighter_A_Totals_Total_str,Fighter_A_Totals_Td_Pct,Fighter_A_Totals_Sub_att,Fighter_A_Totals_Rev,Fighter_A_Totals_Ctrl,Fighter_A_Significant_Strikes_Fighter,Fighter_A_Significant_Strikes_Sig_str,Fighter_A_Significant_Strikes_Sig_str_Pct,Fighter_A_Significant_Strikes_Head,Fighter_A_Significant_Strikes_Body,Fighter_A_Significant_Strikes_Leg,Fighter_A_Significant_Strikes_Distance,Fighter_A_Significant_Strikes_Clinch,Fighter_A_Significant_Strikes_Ground,Fighter_B_Totals_Fighter,Fighter_B_Totals_KD,Fighter_B_Totals_Sig_str,Fighter_B_Totals_Sig_str_Pct,Fighter_B_Totals_Total_str,Fighter_B_Totals_Td_Pct,Fighter_B_Totals_Sub_att,Fighter_B_Totals_Rev,Fighter_B_Totals_Ctrl,Fighter_B_Significant_Strikes_Fighter,Fighter_B_Significant_Strikes_Sig_str,Fighter_B_Significant_Strikes_Sig_str_Pct,Fighter_B_Significant_Strikes_Head,Fighter_B_Significant_Strikes_Body,Fighter_B_Significant_Strikes_Leg,Fighter_B_Significant_Strikes_Distance,Fighter_B_Significant_Strikes_Clinch,Fighter_B_Significant_Strikes_Ground
Renato Sobral,Chuck Liddell,0,Light Heavyweight,0,KO/TKO,1,2:55,3_Rnd_(5-5-5),Larry_Landless,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Renato Sobral,0.0,10 of 18,55%,10 of 18,0%,0.0,0.0,0:00,Renato Sobral,10 of 18,55%,2 of 9,0 of 0,8 of 9,10 of 18,0 of 0,0 of 0
Matt Hughes,Gil Castillo,1,Welterweight,1,TKO - Doctor's Stoppage,1,5:00,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",Matt Hughes,0.0,22 of 32,68%,36 of 46,100%,0.0,0.0,4:04,Matt Hughes,22 of 32,68%,14 of 24,6 of 6,2 of 2,4 of 8,0 of 0,18 of 24,,,,,,,,,,,,,,,,,,
Gil Castillo,Matt Hughes,0,Welterweight,1,TKO - Doctor's Stoppage,1,5:00,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Gil Castillo,0.0,1 of 2,50%,1 of 2,---,0.0,0.0,0:00,Gil Castillo,1 of 2,50%,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
Carlos Newton,Pete Spratt,1,Welterweight,0,Submission,1,1:45,3_Rnd_(5-5-5),Larry_Landless,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",Carlos Newton,0.0,0 of 0,---,0 of 0,100%,1.0,0.0,1:18,Carlos Newton,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Pete Spratt,Carlos Newton,0,Welterweight,0,Submission,1,1:45,3_Rnd_(5-5-5),Larry_Landless,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Pete Spratt,0.0,1 of 2,50%,3 of 4,---,0.0,0.0,0:02,Pete Spratt,1 of 2,50%,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
Robbie Lawler,Tiki Ghosn,1,Welterweight,0,KO/TKO,1,1:29,3_Rnd_(5-5-5),Nelson_Hamilton,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",Robbie Lawler,1.0,5 of 11,45%,5 of 11,---,0.0,0.0,0:02,Robbie Lawler,5 of 11,45%,5 of 11,0 of 0,0 of 0,4 of 9,0 of 0,1 of 2,,,,,,,,,,,,,,,,,,
Tiki Ghosn,Robbie Lawler,0,Welterweight,0,KO/TKO,1,1:29,3_Rnd_(5-5-5),Nelson_Hamilton,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Tiki Ghosn,0.0,7 of 14,50%,7 of 14,---,0.0,0.0,0:00,Tiki Ghosn,7 of 14,50%,0 of 4,1 of 1,6 of 9,7 of 14,0 of 0,0 of 0
Andrei Arlovski,Ian Freeman,1,Heavyweight,0,KO/TKO,1,1:18,3_Rnd_(5-5-5),Larry_Landless,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",Andrei Arlovski,1.0,14 of 26,53%,14 of 26,---,0.0,0.0,0:03,Andrei Arlovski,14 of 26,53%,7 of 19,0 of 0,7 of 7,10 of 22,4 of 4,0 of 0,,,,,,,,,,,,,,,,,,
Ian Freeman,Andrei Arlovski,0,Heavyweight,0,KO/TKO,1,1:18,3_Rnd_(5-5-5),Larry_Landless,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Ian Freeman,0.0,1 of 11,9%,1 of 11,---,0.0,0.0,0:00,Ian Freeman,1 of 11,9%,0 of 10,0 of 0,1 of 1,1 of 10,0 of 1,0 of 0
Vladimir Matyushenko,Travis Wiuff,1,Heavyweight,0,KO/TKO,1,4:10,3_Rnd_(5-5-5),John_McCarthy,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",Vladimir Matyushenko,0.0,24 of 32,75%,56 of 66,66%,0.0,0.0,3:17,Vladimir Matyushenko,24 of 32,75%,19 of 26,5 of 6,0 of 0,0 of 2,8 of 10,16 of 20,,,,,,,,,,,,,,,,,,
Travis Wiuff,Vladimir Matyushenko,0,Heavyweight,0,KO/TKO,1,4:10,3_Rnd_(5-5-5),John_McCarthy,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Travis Wiuff,0.0,0 of 0,---,3 of 3,0%,1.0,0.0,0:03,Travis Wiuff,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Phillip Miller,Mark Weir,1,Middleweight,0,Submission,2,4:50,3_Rnd_(5-5-5),Nelson_Hamilton,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",Phillip Miller,0.0,9 of 14,64%,16 of 22,100%,0.0,0.0,4:41,Phillip Miller,9 of 14,64%,5 of 10,4 of 4,0 of 0,0 of 0,0 of 0,9 of 14,,,,,,,,,,,,,,,,,,
Mark Weir,Phillip Miller,0,Middleweight,0,Submission,2,4:50,3_Rnd_(5-5-5),Nelson_Hamilton,"Date:November 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Mark Weir,0.0,1 of 3,33%,10 of 13,---,3.0,0.0,0:04,Mark Weir,1 of 3,33%,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
Ricco Rodriguez,Randy Couture,1,Heavyweight,1,KO/TKO,5,3:04,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",Ricco Rodriguez,0.0,6 of 19,31%,8 of 21,50%,0.0,0.0,1:18,Ricco Rodriguez,6 of 19,31%,2 of 12,3 of 6,1 of 1,4 of 15,2 of 4,0 of 0,,,,,,,,,,,,,,,,,,
Randy Couture,Ricco Rodriguez,0,Heavyweight,1,KO/TKO,5,3:04,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Randy Couture,0.0,10 of 23,43%,16 of 29,100%,0.0,0.0,1:40,Randy Couture,10 of 23,43%,7 of 19,2 of 3,1 of 1,5 of 16,3 of 5,2 of 2
Tim Sylvia,Wesley Correira,1,Heavyweight,0,KO/TKO,2,1:43,3_Rnd_(5-5-5),Kipp_Kollar,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",Tim Sylvia,0.0,94 of 149,63%,110 of 166,---,0.0,0.0,0:03,Tim Sylvia,94 of 149,63%,77 of 129,11 of 14,6 of 6,64 of 110,30 of 39,0 of 0,,,,,,,,,,,,,,,,,,
Wesley Correira,Tim Sylvia,0,Heavyweight,0,KO/TKO,2,1:43,3_Rnd_(5-5-5),Kipp_Kollar,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Wesley Correira,0.0,22 of 56,39%,22 of 56,---,0.0,0.0,0:00,Wesley Correira,22 of 56,39%,18 of 52,3 of 3,1 of 1,21 of 54,1 of 2,0 of 0
BJ Penn,Matt Serra,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",BJ Penn,0.0,14 of 20,70%,31 of 38,---,0.0,0.0,0:10,BJ Penn,14 of 20,70%,5 of 11,7 of 7,2 of 2,2 of 7,10 of 11,2 of 2,,,,,,,,,,,,,,,,,,
Matt Serra,BJ Penn,0,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Matt Serra,0.0,1 of 11,9%,14 of 24,0%,0.0,0.0,1:55,Matt Serra,1 of 11,9%,0 of 9,1 of 1,0 of 1,0 of 10,1 of 1,0 of 0
Caol Uno,Din Thomas,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Larry_Landless,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",Caol Uno,0.0,3 of 5,60%,18 of 20,---,0.0,0.0,2:49,Caol Uno,3 of 5,60%,2 of 3,0 of 0,1 of 2,1 of 2,0 of 0,2 of 3,,,,,,,,,,,,,,,,,,
Din Thomas,Caol Uno,0,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Larry_Landless,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Din Thomas,0.0,5 of 10,50%,34 of 39,100%,3.0,0.0,1:48,Din Thomas,5 of 10,50%,5 of 9,0 of 1,0 of 0,1 of 1,0 of 2,4 of 7
Gan McGee,Pedro Rizzo,1,Heavyweight,0,KO/TKO,1,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",Gan McGee,0.0,17 of 58,29%,17 of 58,0%,0.0,0.0,0:11,Gan McGee,17 of 58,29%,13 of 53,3 of 3,1 of 2,17 of 57,0 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Pedro Rizzo,Gan McGee,0,Heavyweight,0,KO/TKO,1,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Pedro Rizzo,0.0,14 of 28,50%,14 of 28,---,0.0,0.0,0:00,Pedro Rizzo,14 of 28,50%,4 of 18,0 of 0,10 of 10,14 of 28,0 of 0,0 of 0
Phil Baroni,Dave Menne,1,Middleweight,0,KO/TKO,1,0:18,3_Rnd_(5-5-5),Larry_Landless,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",Phil Baroni,1.0,8 of 13,61%,8 of 13,---,0.0,0.0,0:00,Phil Baroni,8 of 13,61%,8 of 13,0 of 0,0 of 0,8 of 13,0 of 0,0 of 0,,,,,,,,,,,,,,,,,,
Dave Menne,Phil Baroni,0,Middleweight,0,KO/TKO,1,0:18,3_Rnd_(5-5-5),Larry_Landless,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Dave Menne,0.0,1 of 7,14%,1 of 7,---,0.0,0.0,0:00,Dave Menne,1 of 7,14%,0 of 6,0 of 0,1 of 1,1 of 7,0 of 0,0 of 0
Matt Lindland,Ivan Salaverry,1,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kipp_Kollar,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",Matt Lindland,0.0,2 of 9,22%,32 of 42,66%,0.0,0.0,4:40,Matt Lindland,2 of 9,22%,1 of 8,0 of 0,1 of 1,0 of 2,2 of 2,0 of 5,,,,,,,,,,,,,,,,,,
Ivan Salaverry,Matt Lindland,0,Middleweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Kipp_Kollar,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Ivan Salaverry,0.0,4 of 5,80%,14 of 15,---,0.0,0.0,0:00,Ivan Salaverry,4 of 5,80%,0 of 0,2 of 2,2 of 3,3 of 4,1 of 1,0 of 0
Sean Sherk,Benji Radach,1,Welterweight,0,TKO - Doctor's Stoppage,1,4:16,3_Rnd_(5-5-5),Larry_Landless,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",Sean Sherk,0.0,6 of 8,75%,15 of 17,20%,0.0,0.0,3:08,Sean Sherk,6 of 8,75%,6 of 8,0 of 0,0 of 0,0 of 1,0 of 0,6 of 7,,,,,,,,,,,,,,,,,,
Benji Radach,Sean Sherk,0,Welterweight,0,TKO - Doctor's Stoppage,1,4:16,3_Rnd_(5-5-5),Larry_Landless,"Date:September 27, 2002","Location:Uncasville, Connecticut, USA",,,,,,,,,,,,,,,,,,,Benji Radach,0.0,7 of 18,38%,36 of 47,---,0.0,0.0,0:07,Benji Radach,7 of 18,38%,6 of 14,1 of 4,0 of 0,4 of 10,3 of 8,0 of 0
Matt Hughes,Carlos Newton,1,Welterweight,1,KO/TKO,4,3:37,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",Matt Hughes,0.0,7 of 10,70%,21 of 24,---,0.0,0.0,4:13,Matt Hughes,7 of 10,70%,5 of 7,2 of 3,0 of 0,0 of 2,0 of 0,7 of 8,,,,,,,,,,,,,,,,,,
Carlos Newton,Matt Hughes,0,Welterweight,1,KO/TKO,4,3:37,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",,,,,,,,,,,,,,,,,,,Carlos Newton,0.0,0 of 2,0%,1 of 3,0%,1.0,0.0,0:00,Carlos Newton,0 of 2,0%,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
Ian Freeman,Frank Mir,1,Heavyweight,0,KO/TKO,1,4:35,3_Rnd_(5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",Ian Freeman,0.0,34 of 44,77%,60 of 70,---,0.0,1.0,2:56,Ian Freeman,34 of 44,77%,28 of 38,5 of 5,1 of 1,3 of 6,11 of 11,20 of 27,,,,,,,,,,,,,,,,,,
Frank Mir,Ian Freeman,0,Heavyweight,0,KO/TKO,1,4:35,3_Rnd_(5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",,,,,,,,,,,,,,,,,,,Frank Mir,0.0,6 of 10,60%,6 of 10,20%,3.0,0.0,0:14,Frank Mir,6 of 10,60%,1 of 4,3 of 4,2 of 2,4 of 8,2 of 2,0 of 0
Mark Weir,Eugene Jackson,1,Middleweight,0,KO/TKO,1,0:10,3_Rnd_(5-5-5),Larry_Landless,"Date:July 13, 2002","Location:London, England, United Kingdom",Mark Weir,1.0,4 of 6,66%,4 of 6,---,0.0,0.0,0:01,Mark Weir,4 of 6,66%,4 of 6,0 of 0,0 of 0,1 of 2,0 of 0,3 of 4,,,,,,,,,,,,,,,,,,
Eugene Jackson,Mark Weir,0,Middleweight,0,KO/TKO,1,0:10,3_Rnd_(5-5-5),Larry_Landless,"Date:July 13, 2002","Location:London, England, United Kingdom",,,,,,,,,,,,,,,,,,,Eugene Jackson,0.0,0 of 1,0%,0 of 1,---,0.0,0.0,0:00,Eugene Jackson,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
Genki Sudo,Leigh Remedios,1,Lightweight,0,Submission,2,1:38,3_Rnd_(5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",Genki Sudo,0.0,9 of 27,33%,14 of 32,50%,2.0,0.0,2:22,Genki Sudo,9 of 27,33%,8 of 21,0 of 1,1 of 5,3 of 16,0 of 2,6 of 9,,,,,,,,,,,,,,,,,,
Leigh Remedios,Genki Sudo,0,Lightweight,0,Submission,2,1:38,3_Rnd_(5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",,,,,,,,,,,,,,,,,,,Leigh Remedios,0.0,2 of 7,28%,29 of 37,---,0.0,0.0,1:26,Leigh Remedios,2 of 7,28%,0 of 4,1 of 1,1 of 2,0 of 4,2 of 3,0 of 0
Phillip Miller,James Zikic,1,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Larry_Landless,"Date:July 13, 2002","Location:London, England, United Kingdom",Phillip Miller,0.0,13 of 24,54%,29 of 43,25%,0.0,0.0,4:15,Phillip Miller,13 of 24,54%,9 of 19,4 of 5,0 of 0,0 of 0,3 of 4,10 of 20,,,,,,,,,,,,,,,,,,
James Zikic,Phillip Miller,0,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Larry_Landless,"Date:July 13, 2002","Location:London, England, United Kingdom",,,,,,,,,,,,,,,,,,,James Zikic,0.0,6 of 8,75%,12 of 14,0%,0.0,0.0,0:05,James Zikic,6 of 8,75%,1 of 3,5 of 5,0 of 0,1 of 1,5 of 7,0 of 0
Renato Sobral,Elvis Sinosic,1,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",Renato Sobral,0.0,14 of 36,38%,30 of 55,100%,0.0,0.0,4:24,Renato Sobral,14 of 36,38%,13 of 35,0 of 0,1 of 1,2 of 6,0 of 0,12 of 30,,,,,,,,,,,,,,,,,,
Elvis Sinosic,Renato Sobral,0,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:July 13, 2002","Location:London, England, United Kingdom",,,,,,,,,,,,,,,,,,,Elvis Sinosic,0.0,4 of 9,44%,33 of 40,---,0.0,0.0,0:00,Elvis Sinosic,4 of 9,44%,2 of 7,2 of 2,0 of 0,4 of 9,0 of 0,0 of 0
Evan Tanner,Chris Haseman,1,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Larry_Landless,"Date:July 13, 2002","Location:London, England, United Kingdom",Evan Tanner,0.0,13 of 15,86%,14 of 16,33%,0.0,0.0,4:21,Evan Tanner,13 of 15,86%,4 of 4,7 of 8,2 of 3,1 of 1,5 of 7,7 of 7,,,,,,,,,,,,,,,,,,
Chris Haseman,Evan Tanner,0,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Larry_Landless,"Date:July 13, 2002","Location:London, England, United Kingdom",,,,,,,,,,,,,,,,,,,Chris Haseman,0.0,7 of 9,77%,19 of 22,---,2.0,0.0,0:14,Chris Haseman,7 of 9,77%,1 of 3,2 of 2,4 of 4,4 of 4,3 of 5,0 of 0
Chuck Liddell,Vitor Belfort,1,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",Chuck Liddell,0.0,13 of 17,76%,21 of 25,---,0.0,0.0,1:16,Chuck Liddell,13 of 17,76%,1 of 5,3 of 3,9 of 9,4 of 8,9 of 9,0 of 0,,,,,,,,,,,,,,,,,,
Vitor Belfort,Chuck Liddell,0,Light Heavyweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Vitor Belfort,0.0,8 of 11,72%,12 of 15,75%,0.0,0.0,2:07,Vitor Belfort,8 of 11,72%,5 of 8,0 of 0,3 of 3,2 of 3,3 of 3,3 of 5
Benji Radach,Nick Serra,1,Welterweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",Benji Radach,0.0,17 of 27,62%,32 of 42,---,0.0,0.0,3:47,Benji Radach,17 of 27,62%,15 of 25,2 of 2,0 of 0,1 of 3,2 of 2,14 of 22,,,,,,,,,,,,,,,,,,
Nick Serra,Benji Radach,0,Welterweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),John_McCarthy,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Nick Serra,0.0,0 of 3,0%,4 of 7,0%,2.0,0.0,0:20,Nick Serra,0 of 3,0%,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
Pete Spratt,Zach Light,1,Welterweight,0,Submission,1,2:25,3_Rnd_(5-5-5),Kipp_Kollar,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",Pete Spratt,0.0,3 of 5,60%,5 of 7,---,1.0,0.0,0:03,Pete Spratt,3 of 5,60%,1 of 3,2 of 2,0 of 0,2 of 4,1 of 1,0 of 0,,,,,,,,,,,,,,,,,,
Zach Light,Pete Spratt,0,Welterweight,0,Submission,1,2:25,3_Rnd_(5-5-5),Kipp_Kollar,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Zach Light,0.0,2 of 5,40%,13 of 16,100%,0.0,0.0,2:04,Zach Light,2 of 5,40%,2 of 5,0 of 0,0 of 0,1 of 1,0 of 0,1 of 4
Robbie Lawler,Steve Berger,1,Welterweight,0,KO/TKO,2,0:27,3_Rnd_(5-5-5),John_McCarthy,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",Robbie Lawler,0.0,23 of 43,53%,34 of 54,100%,0.0,0.0,1:57,Robbie Lawler,23 of 43,53%,11 of 31,12 of 12,0 of 0,2 of 12,17 of 23,4 of 8,,,,,,,,,,,,,,,,,,
Steve Berger,Robbie Lawler,0,Welterweight,0,KO/TKO,2,0:27,3_Rnd_(5-5-5),John_McCarthy,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Steve Berger,0.0,11 of 37,29%,28 of 54,33%,0.0,0.0,0:26,Steve Berger,11 of 37,29%,2 of 26,8 of 10,1 of 1,0 of 16,11 of 21,0 of 0
Tony Fryklund,Rodrigo Ruas,1,Middleweight,0,KO/TKO,2,3:34,3_Rnd_(5-5-5),Kipp_Kollar,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",Tony Fryklund,1.0,34 of 59,57%,64 of 91,---,0.0,0.0,3:49,Tony Fryklund,34 of 59,57%,31 of 56,1 of 1,2 of 2,3 of 8,2 of 4,29 of 47,,,,,,,,,,,,,,,,,,
Rodrigo Ruas,Tony Fryklund,0,Middleweight,0,KO/TKO,2,3:34,3_Rnd_(5-5-5),Kipp_Kollar,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Rodrigo Ruas,0.0,10 of 23,43%,17 of 32,---,0.0,0.0,0:00,Rodrigo Ruas,10 of 23,43%,4 of 17,0 of 0,6 of 6,8 of 17,2 of 6,0 of 0
Yves Edwards,Joao Pierini,1,Lightweight,0,KO/TKO,1,1:19,3_Rnd_(5-5-5),Cecil_Peoples,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",Yves Edwards,0.0,6 of 9,66%,6 of 9,---,0.0,0.0,0:09,Yves Edwards,6 of 9,66%,3 of 6,0 of 0,3 of 3,5 of 6,0 of 0,1 of 3,,,,,,,,,,,,,,,,,,
Joao Pierini,Yves Edwards,0,Lightweight,0,KO/TKO,1,1:19,3_Rnd_(5-5-5),Cecil_Peoples,"Date:June 22, 2002","Location:Las Vegas, Nevada, USA",,,,,,,,,,,,,,,,,,,Joao Pierini,0.0,1 of 7,14%,1 of 7,---,0.0,0.0,0:00,Joao Pierini,1 of 7,14%,1 of 7,0 of 0,0 of 0,1 of 7,0 of 0,0 of 0
Murilo Bustamante,Matt Lindland,1,Middleweight,1,Submission,3,1:33,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",Murilo Bustamante,0.0,2 of 2,100%,15 of 15,100%,1.0,0.0,2:02,Murilo Bustamante,2 of 2,100%,0 of 0,2 of 2,0 of 0,0 of 0,2 of 2,0 of 0,,,,,,,,,,,,,,,,,,
Matt Lindland,Murilo Bustamante,0,Middleweight,1,Submission,3,1:33,5_Rnd_(5-5-5-5-5),John_McCarthy,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",,,,,,,,,,,,,,,,,,,Matt Lindland,0.0,22 of 28,78%,52 of 58,0%,0.0,0.0,2:27,Matt Lindland,22 of 28,78%,0 of 5,5 of 6,17 of 17,0 of 3,22 of 25,0 of 0
Ricco Rodriguez,Tsuyoshi Kohsaka,1,Heavyweight,0,KO/TKO,2,3:25,3_Rnd_(5-5-5),John_McCarthy,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",Ricco Rodriguez,0.0,5 of 8,62%,30 of 37,50%,1.0,0.0,4:17,Ricco Rodriguez,5 of 8,62%,4 of 6,1 of 2,0 of 0,0 of 1,1 of 1,4 of 6,,,,,,,,,,,,,,,,,,
Tsuyoshi Kohsaka,Ricco Rodriguez,0,Heavyweight,0,KO/TKO,2,3:25,3_Rnd_(5-5-5),John_McCarthy,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",,,,,,,,,,,,,,,,,,,Tsuyoshi Kohsaka,0.0,2 of 5,40%,15 of 19,100%,0.0,0.0,0:18,Tsuyoshi Kohsaka,2 of 5,40%,1 of 4,0 of 0,1 of 1,1 of 1,1 of 4,0 of 0
BJ Penn,Paul Creighton,1,Lightweight,0,KO/TKO,2,3:23,3_Rnd_(5-5-5),Larry_Landless,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",BJ Penn,0.0,12 of 17,70%,45 of 50,---,0.0,0.0,1:27,BJ Penn,12 of 17,70%,2 of 6,9 of 9,1 of 2,0 of 3,12 of 13,0 of 1,,,,,,,,,,,,,,,,,,
Paul Creighton,BJ Penn,0,Lightweight,0,KO/TKO,2,3:23,3_Rnd_(5-5-5),Larry_Landless,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",,,,,,,,,,,,,,,,,,,Paul Creighton,0.0,2 of 3,66%,4 of 5,50%,0.0,0.0,1:34,Paul Creighton,2 of 3,66%,1 of 2,1 of 1,0 of 0,0 of 1,1 of 1,1 of 1
Phil Baroni,Amar Suloev,1,Middleweight,0,KO/TKO,1,2:59,3_Rnd_(5-5-5),John_McCarthy,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",Phil Baroni,0.0,11 of 23,47%,19 of 33,0%,0.0,0.0,0:51,Phil Baroni,11 of 23,47%,10 of 19,0 of 1,1 of 3,4 of 14,0 of 0,7 of 9,,,,,,,,,,,,,,,,,,
Amar Suloev,Phil Baroni,0,Middleweight,0,KO/TKO,1,2:59,3_Rnd_(5-5-5),John_McCarthy,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",,,,,,,,,,,,,,,,,,,Amar Suloev,0.0,9 of 15,60%,9 of 15,100%,1.0,0.0,0:03,Amar Suloev,9 of 15,60%,7 of 13,0 of 0,2 of 2,7 of 13,0 of 0,2 of 2
Caol Uno,Yves Edwards,1,Lightweight,0,Decision - Unanimous,3,5:00,3_Rnd_(5-5-5),Larry_Landless,"Date:May 10, 2002","Location:Bossier City, Louisiana, USA",Caol Uno,0.0,6 of 8,75%,10 of 14,0%,0.0,1.0,0:37,Caol Uno,6 of 8,75%,0 of 2,2 of 2,4 of 4,0 of 0,6 of 8,0 of 0,,,,,,,,,,,,,,,,,,
